,Alpha,Beta,Kappa,Eta,Iota,Delta
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.10569105691056911,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.125,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.28708133971291866,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.19798657718120805,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.4094955489614243,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.540948275862069,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.7425,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.8822314049586777,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.9458955223880597,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.9582790091264668,0.0,0.0,0.0,0.0
2020-12-28,0.004622496147919877,0.9060092449922958,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.9540636042402827,0.0,0.0,0.0017667844522968198,0.0017667844522968198
2021-01-25,0.0,0.9718670076726342,0.0,0.0,0.0,0.0025575447570332483
2021-02-08,0.006872852233676976,0.9759450171821306,0.0,0.0,0.0,0.0
2021-02-22,0.00909090909090909,0.9772727272727273,0.0,0.0,0.0,0.004545454545454545
2021-03-08,0.02262443438914027,0.8823529411764706,0.0,0.0022624434389140274,0.0,0.05656108597285068
2021-03-22,0.018633540372670808,0.8509316770186336,0.0,0.0,0.0,0.06521739130434782
2021-04-05,0.012,0.884,0.0,0.004,0.0,0.028
2021-04-19,0.04627249357326478,0.8508997429305912,0.002570694087403599,0.002570694087403599,0.0,0.017994858611825194
2021-05-03,0.04460966542750929,0.741635687732342,0.0,0.011152416356877323,0.0,0.08364312267657993
2021-05-17,0.06973058637083994,0.6259904912836767,0.001584786053882726,0.004754358161648178,0.0,0.20602218700475436
2021-05-31,0.051353874883286646,0.3912231559290383,0.009337068160597572,0.0,0.0,0.45471521942110177
2021-06-14,0.027898326100433975,0.11283323000619963,0.0006199628022318661,0.0,0.0,0.782393056416615
2021-06-28,0.006787330316742082,0.04524886877828054,0.00045248868778280545,0.0,0.0,0.8886877828054298
2021-07-12,0.00311332503113325,0.014943960149439602,0.0006226650062266501,0.0,0.0,0.9433374844333748
2021-07-26,0.001367053998632946,0.009569377990430622,0.0,0.0,0.0,0.9528366370471634
2021-08-09,0.0,0.002631578947368421,0.0,0.0,0.0,0.9780701754385965
2021-08-23,0.0016597510373443983,0.004979253112033195,0.0,0.0,0.0,0.9692946058091286
2021-09-06,0.0,0.0,0.0,0.0,0.0,0.9591121495327103
2021-09-20,0.0,0.012307692307692308,0.0,0.0,0.0,0.9476923076923077
2021-10-04,0.0,0.01,0.0,0.0,0.0,0.99
