,Alpha,Beta,Kappa,Eta,Iota,Delta
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.10675864334400921,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.12626262626262627,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.2899811512251704,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.19998644159717985,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.41363186763780235,0.0,0.0,0.0,0.0
2020-10-26,0.0,0.5464123998606757,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.7500000000000001,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.8911428332915936,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.9554500226142018,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.9679585950772392,0.0,0.0,0.0,0.0
2020-12-28,0.004669188028201896,0.9151608535275716,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.9637006103437199,0.0,0.0,0.0017846307598957775,0.0017846307598957775
2021-01-25,0.0,0.981683846133974,0.0,0.0,0.0,0.0025833785424578264
2021-02-08,0.006942274983512096,0.9858030476587177,0.0,0.0,0.0,0.0
2021-02-22,0.009182736455463728,0.9871441689623508,0.0,0.0,0.0,0.012855831037649201
2021-03-08,0.022852964029434618,0.8912655971479501,0.0,0.002285296402943462,0.0,0.10873440285204994
2021-03-22,0.018821757952192736,0.8595269464834683,0.0,0.0,0.0,0.14047305351653172
2021-04-05,0.012121212121212121,0.8929292929292929,0.0,0.00404040404040404,0.0,0.1070707070707071
2021-04-19,0.046739892498247254,0.85949468982888,0.0025966606943470696,0.0025966606943470696,0.0,0.14050531017112
2021-05-03,0.045060268108595244,0.749126957305396,0.0,0.011265067027148811,0.0,0.250873042694604
2021-05-17,0.07043493572812115,0.6323136275592693,0.0016007939938209354,0.004802381981462806,0.0,0.36768637244073066
2021-05-31,0.051872600892208735,0.39517490497882657,0.009431381980401589,0.0,0.0,0.6048250950211734
2021-06-14,0.02818012737417573,0.11397295960222185,0.0006262250527594606,0.0,0.0,0.8860270403977781
2021-06-28,0.006855889208830386,0.045705928058869236,0.00045705928058869237,0.0,0.0,0.9542940719411308
2021-07-12,0.0031447727587204546,0.015094909241858185,0.000628954551744091,0.0,0.0,0.9849050907581418
2021-07-26,0.0013808626248817638,0.009666038374172346,0.0,0.0,0.0,0.9903339616258277
2021-08-09,0.0,0.002658160552897395,0.0,0.0,0.0,0.9973418394471026
2021-08-23,0.0016765161993377762,0.005029548598013328,0.0,0.0,0.0,0.9949704514019867
2021-09-06,0.0,0.0,0.0,0.0,0.0,1.0
2021-09-20,0.0,0.012432012432012432,0.0,0.0,0.0,0.9875679875679876
2021-10-04,0.0,0.010101010101010102,0.0,0.0,0.0,0.98989898989899
